optimal_tour,optimal_tour_length,2opt_tour,2opt_tour_length,score,time
"{1, 8, 19, 7, 11, 4, 13, 20, 10, 5, 15, 9, 18, 3, 6, 12, 14, 2, 16, 17, 1}",3.347795,"{1, 8, 19, 7, 11, 4, 13, 20, 10, 5, 15, 9, 18, 3, 12, 6, 14, 2, 16, 17, 1}",3.347631,-0.000049,0.001062
"{1, 6, 17, 16, 8, 9, 5, 14, 18, 7, 2, 10, 4, 19, 13, 15, 12, 20, 3, 11, 1}",4.131330,"{1, 11, 3, 20, 12, 15, 13, 19, 4, 10, 2, 7, 18, 14, 5, 9, 8, 16, 17, 6, 1}",4.131329,0.000000,0.000710
"{1, 3, 13, 2, 9, 6, 11, 20, 19, 15, 8, 5, 4, 7, 14, 18, 17, 10, 12, 16, 1}",4.468433,"{1, 3, 13, 2, 9, 6, 11, 20, 8, 5, 4, 7, 14, 15, 19, 18, 17, 10, 12, 16, 1}",4.542348,0.016542,0.000457
"{1, 13, 14, 20, 5, 16, 11, 8, 10, 7, 9, 2, 15, 17, 19, 6, 12, 3, 4, 18, 1}",3.863744,"{1, 13, 14, 20, 5, 16, 11, 8, 10, 7, 9, 2, 15, 17, 19, 6, 12, 3, 4, 18, 1}",3.863744,0.000000,0.001419
"{1, 15, 18, 8, 3, 20, 6, 11, 14, 19, 17, 16, 4, 13, 9, 12, 5, 2, 10, 7, 1}",4.121216,"{1, 7, 10, 2, 5, 12, 9, 13, 4, 16, 17, 19, 14, 11, 6, 20, 3, 8, 18, 15, 1}",4.121216,0.000000,0.000795
"{1, 14, 4, 11, 9, 15, 16, 19, 3, 7, 5, 20, 2, 10, 18, 17, 8, 12, 13, 6, 1}",3.855716,"{1, 6, 13, 12, 8, 17, 18, 10, 2, 20, 5, 19, 16, 15, 3, 7, 11, 4, 14, 9, 1}",4.019985,0.042604,0.000754
"{1, 2, 19, 3, 8, 10, 17, 20, 15, 7, 18, 5, 9, 11, 16, 13, 14, 6, 12, 4, 1}",3.965355,"{1, 4, 12, 6, 14, 13, 16, 11, 17, 10, 8, 20, 15, 18, 7, 9, 5, 3, 19, 2, 1}",4.364490,0.100655,0.000641
"{1, 15, 11, 4, 19, 12, 5, 10, 14, 6, 8, 7, 13, 18, 9, 16, 2, 3, 20, 17, 1}",4.155659,"{1, 15, 11, 4, 19, 12, 5, 10, 14, 6, 8, 7, 18, 9, 16, 2, 3, 20, 17, 13, 1}",4.451599,0.071214,0.000641
"{1, 8, 16, 7, 15, 14, 3, 18, 17, 12, 9, 10, 11, 19, 5, 13, 20, 2, 4, 6, 1}",3.670597,"{1, 6, 4, 20, 2, 13, 5, 19, 11, 10, 9, 12, 17, 18, 3, 14, 15, 7, 16, 8, 1}",3.670124,-0.000129,0.000690
"{1, 12, 7, 17, 20, 16, 18, 10, 5, 11, 15, 2, 4, 9, 8, 13, 14, 19, 3, 6, 1}",3.873764,"{1, 12, 6, 7, 3, 19, 14, 13, 8, 9, 4, 2, 15, 11, 5, 10, 18, 16, 20, 17, 1}",3.926072,0.013503,0.000695
"{1, 5, 3, 20, 13, 6, 16, 2, 15, 17, 19, 18, 8, 12, 4, 11, 14, 10, 7, 9, 1}",3.489861,"{1, 5, 3, 20, 13, 6, 16, 2, 15, 17, 19, 18, 8, 12, 4, 11, 14, 10, 7, 9, 1}",3.489861,0.000000,0.000561
"{1, 8, 18, 14, 3, 9, 11, 17, 12, 19, 4, 6, 20, 5, 13, 7, 10, 16, 2, 15, 1}",3.248856,"{1, 15, 2, 10, 16, 7, 6, 4, 19, 12, 17, 9, 3, 18, 14, 11, 20, 13, 5, 8, 1}",3.432126,0.056411,0.000941
"{1, 6, 15, 13, 7, 12, 14, 11, 20, 17, 2, 3, 19, 8, 16, 9, 4, 18, 10, 5, 1}",3.433903,"{1, 5, 10, 18, 4, 9, 16, 8, 19, 3, 2, 17, 20, 11, 12, 7, 13, 6, 15, 14, 1}",3.518847,0.024737,0.000513
"{1, 3, 20, 8, 12, 15, 5, 6, 14, 7, 13, 18, 10, 11, 16, 2, 17, 9, 19, 4, 1}",3.790550,"{1, 4, 19, 9, 17, 2, 16, 11, 10, 18, 13, 7, 14, 6, 5, 15, 12, 8, 20, 3, 1}",3.790550,0.000000,0.000186
"{1, 13, 16, 11, 2, 4, 17, 18, 6, 19, 8, 15, 3, 10, 5, 20, 14, 7, 9, 12, 1}",3.482195,"{1, 13, 16, 11, 2, 4, 17, 18, 6, 19, 8, 7, 3, 15, 10, 5, 14, 20, 9, 12, 1}",3.647021,0.047334,0.000648
"{1, 2, 18, 4, 16, 19, 5, 6, 13, 8, 15, 11, 9, 3, 7, 12, 14, 20, 10, 17, 1}",3.701658,"{1, 17, 10, 20, 14, 12, 7, 3, 9, 11, 15, 8, 13, 6, 5, 19, 16, 4, 18, 2, 1}",3.701658,0.000000,0.000845
