optimal_tour,optimal_tour_length,christofides_tour,christofides_tour_length,score,time
"{1, 9, 3, 2, 8, 7, 6, 4, 5, 10, 1}",2.626958,"{1, 4, 8, 2, 3, 9, 7, 6, 5, 10, 1}",3.142804,0.196366,0.000090
"{1, 5, 8, 6, 2, 9, 4, 7, 3, 10, 1}",2.690200,"{1, 5, 6, 8, 3, 7, 4, 2, 9, 10, 1}",3.477989,0.292837,0.000074
"{1, 5, 9, 2, 4, 3, 8, 7, 6, 10, 1}",3.281753,"{1, 10, 7, 8, 2, 3, 4, 9, 5, 6, 1}",3.733046,0.137516,0.000070
"{1, 5, 10, 8, 7, 9, 6, 4, 3, 2, 1}",2.662473,"{1, 10, 5, 8, 7, 6, 9, 4, 3, 2, 1}",2.704976,0.015964,0.000080
"{1, 10, 5, 4, 8, 2, 6, 7, 3, 9, 1}",3.285511,"{1, 10, 8, 2, 6, 5, 4, 7, 9, 3, 1}",3.686606,0.122080,0.000069
"{1, 10, 3, 9, 7, 4, 5, 2, 6, 8, 1}",2.587520,"{1, 10, 3, 7, 9, 4, 5, 2, 6, 8, 1}",2.771716,0.071186,0.000066
"{1, 2, 10, 3, 8, 9, 4, 6, 5, 7, 1}",2.816688,"{1, 10, 2, 7, 5, 9, 8, 6, 4, 3, 1}",3.072084,0.090672,0.000069
"{1, 3, 9, 4, 7, 5, 2, 10, 6, 8, 1}",2.894399,"{1, 5, 10, 2, 6, 7, 8, 9, 4, 3, 1}",3.473150,0.199955,0.000068
"{1, 5, 3, 4, 9, 8, 7, 10, 6, 2, 1}",2.768768,"{1, 2, 6, 10, 7, 8, 9, 4, 3, 5, 1}",2.768768,0.000000,0.000064
"{1, 4, 5, 8, 10, 2, 6, 3, 9, 7, 1}",2.643896,"{1, 9, 3, 6, 2, 10, 8, 5, 4, 7, 1}",2.640534,-0.001271,0.000069
"{1, 7, 5, 8, 4, 6, 2, 10, 9, 3, 1}",2.554845,"{1, 2, 10, 3, 9, 4, 8, 5, 6, 7, 1}",2.878923,0.126848,0.000068
"{1, 6, 2, 8, 7, 9, 4, 3, 10, 5, 1}",3.425116,"{1, 9, 6, 8, 2, 7, 4, 3, 10, 5, 1}",3.877532,0.132088,0.000068
"{1, 7, 4, 2, 5, 3, 6, 8, 10, 9, 1}",1.910333,"{1, 7, 2, 5, 3, 6, 9, 10, 8, 4, 1}",2.240663,0.172917,0.000078
"{1, 2, 6, 8, 7, 3, 9, 10, 4, 5, 1}",3.305425,"{1, 5, 4, 7, 8, 6, 10, 9, 3, 2, 1}",4.207330,0.272856,0.000093
"{1, 2, 5, 7, 6, 10, 4, 8, 9, 3, 1}",2.900715,"{1, 2, 8, 4, 10, 6, 7, 5, 9, 3, 1}",3.013630,0.038927,0.000071
"{1, 9, 2, 8, 3, 6, 10, 7, 4, 5, 1}",3.159194,"{1, 7, 10, 9, 2, 8, 3, 6, 4, 5, 1}",3.733229,0.181703,0.000079
"{1, 8, 7, 3, 10, 6, 5, 4, 9, 2, 1}",2.485104,"{1, 8, 7, 3, 10, 6, 5, 9, 4, 2, 1}",2.535803,0.020401,0.000096
"{1, 3, 2, 6, 4, 8, 10, 9, 5, 7, 1}",2.246422,"{1, 4, 5, 7, 10, 9, 8, 6, 2, 3, 1}",2.566057,0.142286,0.000068
"{1, 4, 2, 5, 3, 8, 6, 9, 7, 10, 1}",3.416027,"{1, 4, 2, 5, 3, 8, 6, 7, 9, 10, 1}",3.508088,0.026950,0.000069
"{1, 5, 10, 7, 2, 6, 8, 4, 3, 9, 1}",3.392541,"{1, 7, 10, 9, 3, 8, 4, 6, 2, 5, 1}",4.106888,0.210564,0.000072
"{1, 4, 5, 2, 10, 6, 7, 3, 8, 9, 1}",3.085914,"{1, 9, 8, 3, 7, 6, 10, 2, 5, 4, 1}",3.085913,0.000000,0.000065
"{1, 6, 7, 3, 8, 2, 4, 10, 9, 5, 1}",3.112684,"{1, 6, 7, 3, 8, 2, 4, 10, 9, 5, 1}",3.112684,0.000000,0.000066
"{1, 4, 8, 3, 5, 2, 10, 6, 9, 7, 1}",2.314986,"{1, 7, 8, 3, 4, 9, 6, 10, 2, 5, 1}",2.709116,0.170252,0.000071
"{1, 10, 7, 3, 9, 4, 8, 6, 5, 2, 1}",3.312083,"{1, 7, 10, 9, 3, 4, 8, 6, 2, 5, 1}",3.838991,0.159087,0.000071
"{1, 10, 5, 6, 7, 9, 3, 4, 8, 2, 1}",2.585382,"{1, 10, 5, 4, 9, 3, 8, 2, 7, 6, 1}",3.019673,0.167979,0.000068
"{1, 7, 3, 2, 4, 6, 10, 5, 8, 9, 1}",2.872292,"{1, 9, 5, 10, 6, 4, 2, 3, 7, 8, 1}",2.949987,0.027050,0.000066
"{1, 7, 5, 8, 10, 9, 2, 3, 6, 4, 1}",2.480695,"{1, 2, 9, 8, 10, 7, 5, 6, 4, 3, 1}",3.061279,0.234041,0.000068
"{1, 9, 2, 10, 8, 3, 4, 5, 6, 7, 1}",3.017211,"{1, 9, 2, 10, 8, 3, 5, 4, 7, 6, 1}",3.246495,0.075992,0.000090
"{1, 4, 2, 5, 10, 6, 9, 7, 3, 8, 1}",3.403691,"{1, 5, 6, 9, 7, 4, 2, 10, 3, 8, 1}",3.974575,0.167725,0.000066
"{1, 4, 2, 7, 8, 5, 3, 10, 6, 9, 1}",2.884081,"{1, 9, 6, 7, 2, 8, 3, 10, 5, 4, 1}",3.451787,0.196841,0.000085
"{1, 3, 7, 10, 6, 4, 8, 5, 9, 2, 1}",2.849122,"{1, 3, 7, 9, 5, 8, 6, 10, 4, 2, 1}",3.367568,0.181967,0.000067
"{1, 4, 6, 7, 3, 2, 8, 10, 5, 9, 1}",2.662141,"{1, 5, 10, 8, 9, 2, 3, 6, 7, 4, 1}",2.806462,0.054212,0.000070
"{1, 3, 7, 4, 2, 10, 5, 8, 6, 9, 1}",3.106187,"{1, 9, 8, 5, 10, 6, 3, 7, 2, 4, 1}",4.295936,0.383025,0.000070
"{1, 6, 2, 5, 10, 8, 3, 7, 9, 4, 1}",2.367522,"{1, 6, 2, 5, 3, 8, 10, 7, 9, 4, 1}",2.520194,0.064486,0.000067
"{1, 7, 2, 9, 8, 6, 4, 5, 3, 10, 1}",3.045950,"{1, 7, 9, 8, 2, 10, 5, 3, 4, 6, 1}",3.460825,0.136206,0.000069
"{1, 10, 4, 3, 2, 5, 6, 7, 9, 8, 1}",2.587924,"{1, 8, 9, 7, 6, 5, 10, 4, 3, 2, 1}",3.023625,0.168359,0.000076
"{1, 6, 7, 9, 10, 2, 5, 8, 3, 4, 1}",3.743237,"{1, 9, 10, 2, 5, 3, 8, 7, 6, 4, 1}",4.421843,0.181289,0.000073
"{1, 8, 10, 7, 9, 4, 3, 2, 6, 5, 1}",3.135972,"{1, 8, 10, 7, 9, 4, 2, 3, 6, 5, 1}",3.274405,0.044144,0.000070
"{1, 5, 7, 10, 2, 9, 4, 8, 6, 3, 1}",2.303661,"{1, 5, 10, 7, 2, 9, 4, 8, 6, 3, 1}",2.497742,0.084249,0.000066
"{1, 6, 2, 10, 5, 7, 8, 3, 4, 9, 1}",3.109025,"{1, 9, 4, 3, 8, 7, 2, 5, 10, 6, 1}",3.270368,0.051895,0.000067
"{1, 2, 3, 9, 7, 5, 8, 10, 4, 6, 1}",2.837561,"{1, 6, 4, 10, 8, 5, 7, 9, 3, 2, 1}",2.837561,0.000000,0.000075
"{1, 5, 8, 10, 3, 9, 6, 7, 4, 2, 1}",3.007583,"{1, 9, 6, 4, 7, 5, 8, 10, 3, 2, 1}",3.800701,0.263706,0.000066
"{1, 9, 3, 8, 4, 10, 2, 6, 7, 5, 1}",2.624140,"{1, 3, 9, 5, 7, 6, 2, 4, 10, 8, 1}",2.912383,0.109843,0.000068
"{1, 9, 4, 8, 6, 2, 3, 10, 7, 5, 1}",2.531933,"{1, 9, 8, 4, 6, 5, 7, 10, 3, 2, 1}",2.969413,0.172785,0.000071
"{1, 10, 5, 6, 3, 9, 7, 8, 2, 4, 1}",2.656223,"{1, 6, 5, 10, 9, 3, 7, 8, 2, 4, 1}",2.993133,0.126838,0.000065
"{1, 5, 4, 10, 9, 3, 6, 8, 7, 2, 1}",2.559688,"{1, 5, 4, 10, 9, 3, 6, 8, 7, 2, 1}",2.559688,0.000000,0.000065
"{1, 2, 6, 8, 4, 10, 9, 3, 5, 7, 1}",2.826813,"{1, 5, 7, 9, 10, 6, 8, 4, 3, 2, 1}",3.398808,0.202346,0.000071
"{1, 9, 5, 4, 2, 10, 8, 3, 7, 6, 1}",3.019920,"{1, 9, 7, 3, 8, 10, 2, 4, 5, 6, 1}",3.136427,0.038580,0.000087
"{1, 7, 9, 2, 6, 8, 3, 5, 4, 10, 1}",2.804468,"{1, 2, 9, 7, 10, 4, 3, 5, 8, 6, 1}",3.550029,0.265847,0.000087
"{1, 8, 3, 10, 9, 6, 5, 4, 7, 2, 1}",2.467897,"{1, 2, 7, 5, 10, 9, 6, 4, 3, 8, 1}",2.762288,0.119288,0.000079
"{1, 5, 3, 10, 7, 8, 4, 9, 2, 6, 1}",2.903120,"{1, 5, 3, 10, 7, 4, 8, 9, 2, 6, 1}",2.931050,0.009621,0.000078
"{1, 8, 4, 7, 2, 10, 3, 9, 6, 5, 1}",3.148333,"{1, 8, 4, 7, 2, 10, 3, 9, 5, 6, 1}",3.164194,0.005038,0.000070
"{1, 2, 7, 6, 8, 10, 9, 3, 5, 4, 1}",2.612129,"{1, 4, 5, 3, 9, 10, 8, 6, 7, 2, 1}",2.612129,0.000000,0.000070
"{1, 7, 4, 10, 2, 3, 6, 9, 8, 5, 1}",2.970244,"{1, 7, 10, 4, 6, 2, 3, 9, 8, 5, 1}",3.337112,0.123514,0.000068
"{1, 6, 8, 3, 4, 5, 9, 2, 7, 10, 1}",2.750998,"{1, 7, 10, 8, 6, 9, 2, 5, 3, 4, 1}",3.351463,0.218271,0.000090
"{1, 10, 4, 3, 9, 5, 8, 7, 2, 6, 1}",3.211127,"{1, 10, 4, 3, 6, 7, 2, 8, 9, 5, 1}",3.542498,0.103195,0.000080
"{1, 10, 6, 4, 9, 5, 8, 3, 7, 2, 1}",2.305279,"{1, 4, 6, 10, 9, 8, 3, 5, 2, 7, 1}",2.526061,0.095772,0.000079
"{1, 8, 9, 2, 4, 7, 5, 6, 3, 10, 1}",2.680064,"{1, 10, 3, 6, 5, 7, 9, 2, 4, 8, 1}",2.866048,0.069395,0.000064
"{1, 4, 6, 8, 3, 2, 7, 5, 9, 10, 1}",3.054547,"{1, 6, 10, 9, 5, 7, 2, 8, 3, 4, 1}",3.299397,0.080159,0.000068
"{1, 2, 7, 4, 9, 3, 6, 10, 8, 5, 1}",2.699164,"{1, 8, 10, 6, 9, 3, 4, 7, 2, 5, 1}",3.067132,0.136327,0.000066
"{1, 6, 7, 2, 5, 4, 10, 9, 3, 8, 1}",2.481569,"{1, 6, 8, 3, 9, 10, 4, 7, 5, 2, 1}",2.602434,0.048705,0.000067
"{1, 8, 6, 2, 10, 3, 7, 4, 5, 9, 1}",2.830612,"{1, 4, 7, 8, 6, 2, 10, 3, 9, 5, 1}",3.064922,0.082777,0.000065
"{1, 4, 2, 10, 3, 7, 8, 5, 9, 6, 1}",2.385435,"{1, 6, 9, 5, 8, 7, 3, 10, 2, 4, 1}",2.385434,0.000000,0.000065
"{1, 3, 2, 7, 8, 5, 4, 10, 6, 9, 1}",2.678073,"{1, 9, 6, 10, 4, 5, 8, 7, 2, 3, 1}",2.678073,0.000000,0.000064
"{1, 9, 8, 6, 3, 2, 7, 5, 10, 4, 1}",3.045031,"{1, 9, 8, 10, 5, 2, 7, 3, 4, 6, 1}",3.449736,0.132907,0.000068
"{1, 4, 8, 5, 10, 7, 9, 2, 6, 3, 1}",3.098381,"{1, 5, 10, 7, 4, 8, 2, 9, 6, 3, 1}",3.576520,0.154319,0.000132
"{1, 4, 7, 5, 8, 10, 9, 2, 3, 6, 1}",3.159462,"{1, 7, 10, 3, 2, 9, 5, 8, 4, 6, 1}",4.170581,0.320029,0.000071
"{1, 7, 4, 10, 2, 6, 3, 8, 5, 9, 1}",2.162367,"{1, 5, 8, 3, 6, 2, 10, 4, 7, 9, 1}",2.338961,0.081667,0.000068
"{1, 2, 5, 6, 10, 7, 3, 4, 8, 9, 1}",3.210583,"{1, 9, 6, 4, 8, 10, 3, 7, 5, 2, 1}",3.443687,0.072605,0.000124
"{1, 7, 10, 6, 9, 5, 4, 8, 3, 2, 1}",3.015062,"{1, 2, 8, 4, 7, 10, 5, 9, 6, 3, 1}",3.604510,0.195501,0.000067
"{1, 7, 10, 5, 4, 8, 3, 6, 2, 9, 1}",3.087526,"{1, 8, 5, 10, 7, 4, 3, 6, 2, 9, 1}",3.775078,0.222687,0.000086
"{1, 5, 8, 9, 3, 2, 7, 10, 4, 6, 1}",2.805842,"{1, 7, 2, 3, 10, 9, 8, 5, 6, 4, 1}",3.142685,0.120051,0.000070
"{1, 2, 3, 7, 10, 5, 9, 8, 4, 6, 1}",3.204342,"{1, 6, 4, 8, 10, 5, 9, 7, 3, 2, 1}",3.431370,0.070850,0.000067
"{1, 4, 2, 8, 10, 7, 5, 9, 3, 6, 1}",2.682520,"{1, 8, 2, 4, 10, 7, 5, 9, 3, 6, 1}",2.739542,0.021257,0.000068
"{1, 3, 5, 9, 10, 7, 6, 2, 4, 8, 1}",3.011919,"{1, 8, 4, 7, 10, 9, 6, 3, 5, 2, 1}",3.262183,0.083091,0.000070
"{1, 4, 8, 9, 7, 2, 3, 6, 5, 10, 1}",2.880089,"{1, 7, 9, 2, 3, 6, 5, 10, 8, 4, 1}",2.958780,0.027322,0.000068
"{1, 5, 4, 9, 2, 6, 3, 7, 10, 8, 1}",2.683815,"{1, 8, 7, 10, 3, 6, 2, 9, 4, 5, 1}",2.690077,0.002333,0.000070
"{1, 8, 3, 4, 9, 2, 6, 7, 5, 10, 1}",2.845034,"{1, 8, 10, 5, 7, 6, 2, 9, 3, 4, 1}",3.066566,0.077866,0.000084
"{1, 8, 5, 3, 6, 9, 7, 10, 2, 4, 1}",2.692173,"{1, 8, 5, 3, 6, 9, 7, 10, 2, 4, 1}",2.692173,0.000000,0.000087
"{1, 8, 6, 9, 5, 7, 3, 2, 10, 4, 1}",3.499470,"{1, 4, 10, 6, 9, 5, 3, 2, 7, 8, 1}",3.893712,0.112658,0.000069
"{1, 5, 3, 7, 10, 8, 4, 6, 2, 9, 1}",2.327446,"{1, 5, 9, 2, 6, 4, 8, 10, 7, 3, 1}",2.451780,0.053421,0.000066
"{1, 8, 2, 9, 5, 3, 6, 10, 4, 7, 1}",2.863571,"{1, 8, 2, 9, 5, 3, 10, 6, 4, 7, 1}",2.982360,0.041483,0.000064
"{1, 6, 10, 5, 7, 8, 4, 9, 2, 3, 1}",2.681528,"{1, 5, 9, 4, 8, 7, 10, 6, 3, 2, 1}",2.928862,0.092236,0.000065
"{1, 6, 8, 10, 5, 2, 3, 7, 9, 4, 1}",3.073713,"{1, 7, 3, 2, 9, 4, 8, 10, 5, 6, 1}",3.918615,0.274880,0.000068
"{1, 8, 10, 9, 3, 2, 4, 6, 7, 5, 1}",2.997110,"{1, 5, 10, 9, 3, 4, 6, 7, 2, 8, 1}",3.513641,0.172343,0.000069
"{1, 8, 3, 4, 6, 10, 7, 9, 5, 2, 1}",2.673085,"{1, 8, 9, 7, 6, 4, 3, 10, 5, 2, 1}",3.459019,0.294018,0.000068
"{1, 3, 7, 2, 5, 6, 4, 10, 8, 9, 1}",2.460655,"{1, 9, 4, 5, 6, 2, 10, 8, 7, 3, 1}",2.771808,0.126451,0.000065
"{1, 7, 2, 10, 4, 9, 8, 6, 3, 5, 1}",2.737237,"{1, 7, 2, 10, 4, 8, 9, 5, 3, 6, 1}",2.943825,0.075473,0.000070
"{1, 5, 8, 4, 3, 10, 9, 2, 6, 7, 1}",2.986832,"{1, 8, 10, 3, 9, 2, 6, 7, 4, 5, 1}",3.502515,0.172652,0.000067
"{1, 10, 6, 3, 7, 5, 4, 8, 9, 2, 1}",3.221305,"{1, 10, 6, 3, 7, 5, 4, 8, 9, 2, 1}",3.221305,0.000000,0.000066
"{1, 7, 6, 10, 3, 9, 5, 8, 2, 4, 1}",2.239931,"{1, 7, 6, 10, 3, 9, 5, 8, 2, 4, 1}",2.239931,0.000000,0.000065
"{1, 9, 7, 6, 3, 8, 5, 10, 2, 4, 1}",3.254561,"{1, 9, 10, 7, 6, 3, 8, 5, 2, 4, 1}",3.598583,0.105705,0.000065
"{1, 10, 3, 8, 7, 2, 9, 6, 4, 5, 1}",2.246194,"{1, 3, 8, 7, 2, 9, 6, 5, 4, 10, 1}",2.521240,0.122450,0.000066
"{1, 5, 10, 9, 6, 3, 2, 4, 8, 7, 1}",2.305412,"{1, 7, 8, 4, 5, 10, 9, 6, 3, 2, 1}",2.448115,0.061899,0.000068
"{1, 6, 5, 10, 7, 8, 4, 3, 2, 9, 1}",3.042859,"{1, 2, 4, 5, 10, 7, 8, 3, 9, 6, 1}",3.496560,0.149104,0.000066
"{1, 10, 8, 2, 5, 9, 6, 7, 4, 3, 1}",2.761835,"{1, 10, 6, 7, 5, 9, 8, 2, 4, 3, 1}",3.259017,0.180019,0.000068
"{1, 5, 2, 10, 4, 6, 3, 8, 9, 7, 1}",3.298447,"{1, 5, 2, 10, 4, 6, 3, 7, 9, 8, 1}",3.503226,0.062083,0.000065
"{1, 2, 8, 7, 4, 6, 9, 10, 5, 3, 1}",3.179974,"{1, 3, 9, 6, 4, 2, 8, 7, 10, 5, 1}",4.248372,0.335977,0.000070
"{1, 4, 8, 3, 10, 9, 6, 2, 5, 7, 1}",2.891815,"{1, 2, 9, 10, 3, 8, 4, 6, 5, 7, 1}",3.751333,0.297224,0.000066
