optimal_tour,optimal_tour_length,gcn_tour,gcn_tour_length,score,time
"{1, 8, 19, 7, 11, 4, 13, 20, 10, 5, 15, 9, 18, 3, 6, 12, 14, 2, 16, 17, 1}",3.347795,"{1, 8, 3, 18, 9, 15, 5, 6, 12, 14, 2, 16, 17, 11, 19, 7, 4, 13, 20, 10, 1}",4.072744,0.216545,0.185569
"{1, 6, 17, 16, 8, 9, 5, 14, 18, 7, 2, 10, 4, 19, 13, 15, 12, 20, 3, 11, 1}",4.131330,"{1, 11, 3, 20, 12, 15, 6, 17, 16, 8, 5, 9, 14, 18, 7, 2, 10, 4, 19, 13, 1}",4.431169,0.072577,0.044551
"{1, 3, 13, 2, 9, 6, 11, 20, 19, 15, 8, 5, 4, 7, 14, 18, 17, 10, 12, 16, 1}",4.468433,"{1, 13, 3, 20, 11, 6, 9, 2, 8, 5, 4, 7, 14, 15, 19, 18, 17, 10, 12, 16, 1}",4.594897,0.028302,0.044861
"{1, 13, 14, 20, 5, 16, 11, 8, 10, 7, 9, 2, 15, 17, 19, 6, 12, 3, 4, 18, 1}",3.863744,"{1, 18, 4, 3, 12, 6, 19, 17, 15, 2, 9, 7, 11, 16, 5, 20, 8, 10, 14, 13, 1}",3.910957,0.012219,0.045504
"{1, 15, 18, 8, 3, 20, 6, 11, 14, 19, 17, 16, 4, 13, 9, 12, 5, 2, 10, 7, 1}",4.121216,"{1, 15, 18, 8, 20, 3, 6, 11, 14, 17, 16, 4, 19, 13, 9, 12, 5, 2, 10, 7, 1}",4.159239,0.009226,0.044847
"{1, 14, 4, 11, 9, 15, 16, 19, 3, 7, 5, 20, 2, 10, 18, 17, 8, 12, 13, 6, 1}",3.855716,"{1, 6, 13, 12, 17, 8, 18, 10, 2, 20, 5, 7, 3, 19, 16, 15, 9, 14, 4, 11, 1}",3.876954,0.005508,0.044910
"{1, 2, 19, 3, 8, 10, 17, 20, 15, 7, 18, 5, 9, 11, 16, 13, 14, 6, 12, 4, 1}",3.965355,"{1, 2, 8, 10, 17, 20, 15, 7, 18, 5, 9, 11, 16, 13, 14, 6, 12, 4, 19, 3, 1}",4.245808,0.070726,0.044842
"{1, 15, 11, 4, 19, 12, 5, 10, 14, 6, 8, 7, 13, 18, 9, 16, 2, 3, 20, 17, 1}",4.155659,"{1, 17, 20, 3, 2, 16, 9, 18, 13, 7, 8, 6, 14, 10, 5, 12, 19, 4, 11, 15, 1}",4.155658,0.000000,0.044796
"{1, 8, 16, 7, 15, 14, 3, 18, 17, 12, 9, 10, 11, 19, 5, 13, 20, 2, 4, 6, 1}",3.670597,"{1, 6, 4, 2, 20, 13, 5, 11, 19, 10, 9, 12, 17, 18, 3, 14, 15, 7, 16, 8, 1}",3.675104,0.001228,0.044898
"{1, 12, 7, 17, 20, 16, 18, 10, 5, 11, 15, 2, 4, 9, 8, 13, 14, 19, 3, 6, 1}",3.873764,"{1, 12, 6, 3, 19, 14, 13, 8, 9, 4, 2, 15, 11, 5, 10, 18, 16, 20, 7, 17, 1}",3.878556,0.001237,0.044983
"{1, 5, 3, 20, 13, 6, 16, 2, 15, 17, 19, 18, 8, 12, 4, 11, 14, 10, 7, 9, 1}",3.489861,"{1, 5, 9, 7, 10, 11, 4, 12, 8, 14, 18, 19, 17, 15, 2, 16, 6, 13, 20, 3, 1}",3.597560,0.030860,0.045048
"{1, 8, 18, 14, 3, 9, 11, 17, 12, 19, 4, 6, 20, 5, 13, 7, 10, 16, 2, 15, 1}",3.248856,"{1, 15, 8, 18, 14, 3, 9, 17, 11, 20, 5, 13, 6, 4, 12, 19, 7, 10, 2, 16, 1}",3.488790,0.073852,0.044822
"{1, 6, 15, 13, 7, 12, 14, 11, 20, 17, 2, 3, 19, 8, 16, 9, 4, 18, 10, 5, 1}",3.433903,"{1, 5, 10, 18, 4, 9, 16, 8, 19, 3, 2, 17, 20, 11, 12, 14, 7, 13, 15, 6, 1}",3.447964,0.004095,0.045283
"{1, 3, 20, 8, 12, 15, 5, 6, 14, 7, 13, 18, 10, 11, 16, 2, 17, 9, 19, 4, 1}",3.790550,"{1, 8, 20, 3, 19, 4, 9, 17, 2, 16, 11, 10, 18, 13, 7, 14, 6, 5, 15, 12, 1}",4.020837,0.060753,0.044935
"{1, 13, 16, 11, 2, 4, 17, 18, 6, 19, 8, 15, 3, 10, 5, 20, 14, 7, 9, 12, 1}",3.482195,"{1, 13, 16, 11, 2, 17, 4, 18, 15, 10, 5, 20, 14, 7, 3, 8, 19, 6, 9, 12, 1}",3.644315,0.046557,0.045013
"{1, 2, 18, 4, 16, 19, 5, 6, 13, 8, 15, 11, 9, 3, 7, 12, 14, 20, 10, 17, 1}",3.701658,"{1, 2, 17, 10, 20, 14, 12, 7, 3, 9, 11, 15, 8, 13, 6, 5, 19, 16, 4, 18, 1}",3.752831,0.013824,0.045150
"{1, 11, 12, 2, 10, 18, 6, 9, 4, 5, 20, 7, 14, 13, 8, 16, 19, 17, 3, 15, 1}",3.799545,"{1, 15, 3, 17, 19, 16, 8, 13, 14, 7, 20, 5, 4, 9, 6, 18, 10, 2, 12, 11, 1}",3.799545,0.000000,0.045365
"{1, 7, 17, 14, 16, 15, 6, 4, 18, 3, 20, 10, 5, 9, 12, 11, 19, 13, 2, 8, 1}",3.931634,"{1, 7, 17, 14, 16, 15, 6, 4, 18, 3, 20, 10, 5, 9, 12, 19, 11, 13, 2, 8, 1}",3.944169,0.003188,0.044098
"{1, 4, 19, 11, 20, 14, 17, 16, 18, 6, 7, 8, 9, 3, 10, 12, 2, 5, 13, 15, 1}",3.515931,"{1, 4, 19, 11, 8, 9, 3, 15, 13, 5, 12, 2, 10, 6, 7, 16, 18, 17, 14, 20, 1}",3.850013,0.095020,0.044221
"{1, 2, 12, 16, 13, 15, 11, 10, 9, 8, 14, 6, 19, 7, 4, 18, 5, 3, 20, 17, 1}",3.812864,"{1, 2, 12, 16, 13, 15, 11, 10, 9, 8, 14, 6, 19, 7, 4, 18, 5, 3, 20, 17, 1}",3.812864,0.000000,0.044230
"{1, 14, 9, 3, 8, 5, 16, 10, 11, 7, 6, 12, 17, 15, 4, 13, 20, 19, 18, 2, 1}",3.912581,"{1, 14, 9, 3, 8, 5, 16, 10, 11, 7, 6, 12, 17, 15, 4, 13, 20, 19, 18, 2, 1}",3.912581,0.000000,0.044347
"{1, 5, 11, 2, 4, 18, 12, 19, 15, 9, 16, 3, 6, 14, 20, 13, 17, 7, 8, 10, 1}",4.160736,"{1, 10, 8, 7, 17, 13, 20, 9, 14, 16, 6, 3, 15, 19, 12, 18, 4, 2, 11, 5, 1}",4.202481,0.010033,0.044203
"{1, 19, 13, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 16, 12, 15, 11, 20, 2, 1}",3.979102,"{1, 19, 13, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 16, 11, 12, 15, 20, 2, 1}",4.028345,0.012375,0.044307
"{1, 13, 2, 14, 10, 17, 19, 4, 16, 9, 5, 3, 12, 6, 11, 20, 18, 15, 7, 8, 1}",4.780822,"{1, 2, 13, 18, 15, 7, 8, 20, 11, 6, 12, 3, 5, 9, 16, 4, 19, 17, 10, 14, 1}",4.846391,0.013715,0.044525
"{1, 11, 9, 16, 7, 15, 3, 18, 17, 12, 4, 8, 2, 5, 6, 20, 13, 14, 19, 10, 1}",4.078830,"{1, 11, 9, 16, 7, 15, 3, 18, 17, 12, 4, 2, 8, 5, 6, 20, 13, 14, 19, 10, 1}",4.100909,0.005413,0.044058
"{1, 16, 20, 18, 4, 12, 19, 14, 17, 13, 6, 5, 8, 7, 2, 11, 9, 10, 15, 3, 1}",4.262625,"{1, 3, 15, 10, 9, 11, 2, 7, 8, 5, 6, 13, 17, 14, 19, 12, 4, 18, 20, 16, 1}",4.262626,0.000000,0.044432
"{1, 14, 19, 5, 8, 18, 17, 9, 16, 20, 10, 6, 13, 15, 7, 3, 11, 12, 2, 4, 1}",3.456365,"{1, 19, 8, 18, 5, 17, 9, 16, 14, 20, 10, 6, 13, 15, 3, 7, 12, 11, 2, 4, 1}",3.494678,0.011085,0.043875
"{1, 15, 6, 19, 2, 13, 12, 7, 4, 9, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",3.964363,"{1, 15, 6, 19, 2, 13, 12, 7, 4, 9, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",3.964363,0.000000,0.043689
"{1, 17, 9, 10, 5, 18, 3, 13, 6, 19, 16, 8, 12, 7, 14, 11, 20, 15, 4, 2, 1}",4.004752,"{1, 2, 4, 15, 20, 11, 14, 7, 12, 9, 10, 17, 5, 18, 3, 13, 6, 19, 16, 8, 1}",4.308649,0.075884,0.044040
"{1, 15, 3, 11, 16, 7, 20, 12, 19, 10, 8, 5, 6, 13, 2, 4, 17, 18, 9, 14, 1}",3.382039,"{1, 15, 3, 11, 16, 7, 20, 12, 19, 10, 8, 5, 6, 13, 2, 4, 17, 18, 9, 14, 1}",3.382039,0.000000,0.044913
"{1, 11, 19, 16, 18, 6, 14, 9, 13, 5, 12, 15, 3, 17, 4, 7, 20, 8, 10, 2, 1}",3.972566,"{1, 2, 10, 8, 20, 7, 4, 17, 3, 15, 12, 5, 13, 9, 14, 6, 18, 16, 19, 11, 1}",3.972565,0.000000,0.044849
"{1, 4, 14, 12, 2, 10, 16, 6, 13, 18, 3, 17, 9, 11, 20, 8, 19, 5, 7, 15, 1}",4.439022,"{1, 4, 14, 12, 2, 10, 16, 6, 13, 18, 3, 17, 9, 11, 20, 8, 19, 5, 7, 15, 1}",4.439022,0.000000,0.045019
"{1, 13, 9, 11, 7, 6, 15, 2, 4, 18, 17, 5, 8, 19, 14, 12, 20, 10, 16, 3, 1}",3.491404,"{1, 3, 16, 10, 20, 12, 14, 19, 8, 5, 17, 18, 4, 2, 15, 6, 7, 11, 9, 13, 1}",3.491404,0.000000,0.044717
"{1, 10, 2, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 16, 20, 8, 5, 4, 12, 17, 1}",3.953280,"{1, 10, 2, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 16, 20, 8, 5, 4, 12, 17, 1}",3.953280,0.000000,0.045025
"{1, 3, 16, 11, 10, 12, 20, 5, 14, 17, 7, 2, 15, 18, 9, 6, 4, 13, 19, 8, 1}",3.780954,"{1, 8, 3, 16, 10, 11, 12, 20, 5, 14, 17, 7, 2, 15, 18, 9, 6, 4, 13, 19, 1}",3.889067,0.028594,0.044272
"{1, 10, 8, 13, 11, 19, 3, 6, 5, 9, 12, 18, 15, 2, 16, 7, 20, 17, 14, 4, 1}",3.371196,"{1, 10, 8, 13, 11, 19, 9, 5, 6, 3, 4, 14, 17, 20, 7, 16, 2, 15, 18, 12, 1}",3.819975,0.133121,0.043955
