optimal_tour,optimal_tour_length,greedy_tour,greedy_tour_length,score,time
"{1, 8, 19, 7, 11, 4, 13, 20, 10, 5, 15, 9, 18, 3, 6, 12, 14, 2, 16, 17, 1}",3.347795,"{1, 8, 19, 7, 11, 4, 13, 20, 10, 14, 12, 6, 5, 15, 9, 18, 3, 17, 16, 2, 1}",3.639202,0.087044,0.000195
"{1, 6, 17, 16, 8, 9, 5, 14, 18, 7, 2, 10, 4, 19, 13, 15, 12, 20, 3, 11, 1}",4.131330,"{1, 11, 3, 20, 12, 15, 4, 13, 19, 10, 7, 2, 18, 14, 6, 9, 5, 8, 16, 17, 1}",4.586230,0.110110,0.000162
"{1, 3, 13, 2, 9, 6, 11, 20, 19, 15, 8, 5, 4, 7, 14, 18, 17, 10, 12, 16, 1}",4.468433,"{1, 3, 16, 12, 10, 18, 17, 19, 15, 14, 7, 4, 5, 8, 20, 11, 6, 9, 2, 13, 1}",4.606209,0.030833,0.000127
"{1, 13, 14, 20, 5, 16, 11, 8, 10, 7, 9, 2, 15, 17, 19, 6, 12, 3, 4, 18, 1}",3.863744,"{1, 18, 4, 3, 12, 6, 19, 15, 9, 2, 10, 8, 5, 20, 16, 11, 7, 17, 13, 14, 1}",4.963240,0.284567,0.000127
"{1, 15, 18, 8, 3, 20, 6, 11, 14, 19, 17, 16, 4, 13, 9, 12, 5, 2, 10, 7, 1}",4.121216,"{1, 15, 3, 20, 18, 8, 5, 12, 13, 9, 4, 19, 17, 16, 11, 6, 14, 2, 10, 7, 1}",4.668551,0.132809,0.000175
"{1, 14, 4, 11, 9, 15, 16, 19, 3, 7, 5, 20, 2, 10, 18, 17, 8, 12, 13, 6, 1}",3.855716,"{1, 6, 15, 16, 19, 5, 13, 12, 8, 17, 18, 10, 2, 20, 7, 3, 11, 4, 14, 9, 1}",4.444438,0.152688,0.000124
"{1, 2, 19, 3, 8, 10, 17, 20, 15, 7, 18, 5, 9, 11, 16, 13, 14, 6, 12, 4, 1}",3.965355,"{1, 2, 8, 10, 17, 20, 15, 7, 18, 9, 5, 3, 19, 11, 16, 13, 14, 6, 12, 4, 1}",4.682039,0.180736,0.000126
"{1, 15, 11, 4, 19, 12, 5, 10, 14, 6, 8, 7, 13, 18, 9, 16, 2, 3, 20, 17, 1}",4.155659,"{1, 15, 11, 4, 19, 12, 5, 6, 10, 14, 8, 7, 18, 13, 9, 16, 2, 3, 17, 20, 1}",4.796666,0.154249,0.000124
"{1, 8, 16, 7, 15, 14, 3, 18, 17, 12, 9, 10, 11, 19, 5, 13, 20, 2, 4, 6, 1}",3.670597,"{1, 6, 4, 13, 5, 11, 19, 9, 12, 17, 18, 3, 14, 10, 2, 20, 15, 7, 16, 8, 1}",4.867111,0.325973,0.000124
"{1, 12, 7, 17, 20, 16, 18, 10, 5, 11, 15, 2, 4, 9, 8, 13, 14, 19, 3, 6, 1}",3.873764,"{1, 12, 6, 3, 19, 14, 13, 8, 4, 9, 2, 18, 10, 5, 15, 11, 16, 20, 17, 7, 1}",3.999963,0.032578,0.000122
"{1, 5, 3, 20, 13, 6, 16, 2, 15, 17, 19, 18, 8, 12, 4, 11, 14, 10, 7, 9, 1}",3.489861,"{1, 5, 16, 6, 13, 3, 20, 2, 15, 19, 17, 18, 8, 12, 4, 11, 14, 7, 10, 9, 1}",3.874193,0.110128,0.000123
"{1, 8, 18, 14, 3, 9, 11, 17, 12, 19, 4, 6, 20, 5, 13, 7, 10, 16, 2, 15, 1}",3.248856,"{1, 15, 8, 3, 9, 17, 11, 14, 18, 20, 5, 13, 6, 4, 12, 19, 7, 10, 2, 16, 1}",3.703551,0.139955,0.000126
"{1, 6, 15, 13, 7, 12, 14, 11, 20, 17, 2, 3, 19, 8, 16, 9, 4, 18, 10, 5, 1}",3.433903,"{1, 6, 15, 13, 7, 12, 11, 20, 17, 2, 3, 19, 8, 16, 9, 18, 4, 10, 14, 5, 1}",4.024714,0.172052,0.000123
"{1, 3, 20, 8, 12, 15, 5, 6, 14, 7, 13, 18, 10, 11, 16, 2, 17, 9, 19, 4, 1}",3.790550,"{1, 4, 19, 9, 17, 2, 16, 11, 10, 18, 13, 7, 14, 6, 5, 15, 12, 8, 20, 3, 1}",3.790550,0.000000,0.000119
"{1, 13, 16, 11, 2, 4, 17, 18, 6, 19, 8, 15, 3, 10, 5, 20, 14, 7, 9, 12, 1}",3.482195,"{1, 13, 16, 11, 2, 17, 4, 18, 6, 19, 8, 15, 3, 7, 10, 5, 14, 20, 9, 12, 1}",3.673377,0.054903,0.000123
"{1, 2, 18, 4, 16, 19, 5, 6, 13, 8, 15, 11, 9, 3, 7, 12, 14, 20, 10, 17, 1}",3.701658,"{1, 2, 16, 4, 18, 20, 14, 12, 3, 7, 13, 8, 15, 11, 9, 6, 5, 19, 10, 17, 1}",4.441041,0.199744,0.000135
"{1, 11, 12, 2, 10, 18, 6, 9, 4, 5, 20, 7, 14, 13, 8, 16, 19, 17, 3, 15, 1}",3.799545,"{1, 15, 3, 17, 11, 12, 2, 18, 10, 6, 9, 4, 5, 20, 7, 14, 13, 8, 16, 19, 1}",4.079233,0.073611,0.000154
"{1, 7, 17, 14, 16, 15, 6, 4, 18, 3, 20, 10, 5, 9, 12, 11, 19, 13, 2, 8, 1}",3.931634,"{1, 7, 17, 14, 15, 16, 4, 6, 18, 3, 20, 10, 5, 9, 12, 11, 19, 13, 2, 8, 1}",4.058148,0.032179,0.000130
"{1, 4, 19, 11, 20, 14, 17, 16, 18, 6, 7, 8, 9, 3, 10, 12, 2, 5, 13, 15, 1}",3.515931,"{1, 4, 19, 11, 8, 20, 16, 7, 6, 18, 17, 14, 2, 12, 10, 9, 3, 5, 13, 15, 1}",4.133512,0.175652,0.000169
"{1, 2, 12, 16, 13, 15, 11, 10, 9, 8, 14, 6, 19, 7, 4, 18, 5, 3, 20, 17, 1}",3.812864,"{1, 2, 12, 16, 13, 15, 11, 10, 17, 3, 20, 5, 18, 4, 7, 19, 6, 14, 9, 8, 1}",4.375415,0.147540,0.000139
"{1, 14, 9, 3, 8, 5, 16, 10, 11, 7, 6, 12, 17, 15, 4, 13, 20, 19, 18, 2, 1}",3.912581,"{1, 2, 18, 20, 19, 13, 4, 15, 17, 12, 6, 7, 11, 10, 16, 5, 8, 3, 9, 14, 1}",3.994353,0.020900,0.000172
"{1, 5, 11, 2, 4, 18, 12, 19, 15, 9, 16, 3, 6, 14, 20, 13, 17, 7, 8, 10, 1}",4.160736,"{1, 4, 18, 12, 3, 6, 14, 16, 9, 15, 19, 2, 11, 5, 10, 8, 7, 20, 13, 17, 1}",4.749121,0.141414,0.000143
"{1, 19, 13, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 16, 12, 15, 11, 20, 2, 1}",3.979102,"{1, 19, 16, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 12, 15, 11, 20, 2, 13, 1}",5.014594,0.260232,0.000154
"{1, 13, 2, 14, 10, 17, 19, 4, 16, 9, 5, 3, 12, 6, 11, 20, 18, 15, 7, 8, 1}",4.780822,"{1, 17, 14, 10, 19, 4, 16, 8, 7, 15, 18, 20, 11, 6, 9, 5, 3, 12, 13, 2, 1}",5.533598,0.157457,0.000124
