optimal_tour,optimal_tour_length,nearest_neighbor_tour,nearest_neighbor_tour_length,score,time
"{1, 9, 3, 2, 8, 7, 6, 4, 5, 10, 1}",2.626958,"{1, 10, 5, 4, 8, 2, 3, 7, 6, 9, 1}",2.927639,0.114460,0.000037
"{1, 5, 8, 6, 2, 9, 4, 7, 3, 10, 1}",2.690200,"{1, 10, 5, 6, 8, 4, 7, 3, 9, 2, 1}",3.705088,0.377254,0.000020
"{1, 5, 9, 2, 4, 3, 8, 7, 6, 10, 1}",3.281753,"{1, 10, 7, 8, 6, 2, 9, 4, 3, 5, 1}",3.828030,0.166459,0.000019
"{1, 5, 10, 8, 7, 9, 6, 4, 3, 2, 1}",2.662473,"{1, 8, 5, 10, 2, 3, 4, 6, 9, 7, 1}",2.780125,0.044189,0.000019
"{1, 10, 5, 4, 8, 2, 6, 7, 3, 9, 1}",3.285511,"{1, 7, 3, 9, 10, 4, 6, 2, 8, 5, 1}",3.540829,0.077710,0.000019
"{1, 10, 3, 9, 7, 4, 5, 2, 6, 8, 1}",2.587520,"{1, 8, 6, 10, 3, 9, 7, 4, 5, 2, 1}",2.794389,0.079949,0.000018
"{1, 2, 10, 3, 8, 9, 4, 6, 5, 7, 1}",2.816688,"{1, 10, 2, 7, 3, 5, 9, 4, 6, 8, 1}",3.272977,0.161995,0.000018
"{1, 3, 9, 4, 7, 5, 2, 10, 6, 8, 1}",2.894399,"{1, 7, 5, 10, 2, 6, 8, 3, 4, 9, 1}",3.047022,0.052730,0.000018
"{1, 5, 3, 4, 9, 8, 7, 10, 6, 2, 1}",2.768768,"{1, 5, 3, 4, 9, 8, 7, 10, 6, 2, 1}",2.768768,0.000000,0.000018
"{1, 4, 5, 8, 10, 2, 6, 3, 9, 7, 1}",2.643896,"{1, 9, 7, 3, 6, 2, 10, 8, 4, 5, 1}",3.066378,0.159795,0.000018
"{1, 7, 5, 8, 4, 6, 2, 10, 9, 3, 1}",2.554845,"{1, 7, 6, 5, 8, 4, 2, 10, 3, 9, 1}",2.690021,0.052910,0.000018
"{1, 6, 2, 8, 7, 9, 4, 3, 10, 5, 1}",3.425116,"{1, 5, 10, 9, 4, 3, 7, 2, 8, 6, 1}",3.543333,0.034515,0.000019
"{1, 7, 4, 2, 5, 3, 6, 8, 10, 9, 1}",1.910333,"{1, 7, 2, 5, 3, 6, 8, 9, 10, 4, 1}",2.231753,0.168253,0.000020
"{1, 2, 6, 8, 7, 3, 9, 10, 4, 5, 1}",3.305425,"{1, 2, 4, 7, 3, 9, 10, 5, 8, 6, 1}",3.673050,0.111219,0.000018
"{1, 2, 5, 7, 6, 10, 4, 8, 9, 3, 1}",2.900715,"{1, 3, 9, 4, 8, 10, 6, 5, 7, 2, 1}",3.056981,0.053871,0.000019
"{1, 9, 2, 8, 3, 6, 10, 7, 4, 5, 1}",3.159194,"{1, 5, 4, 7, 10, 6, 3, 8, 2, 9, 1}",3.159194,0.000000,0.000018
"{1, 8, 7, 3, 10, 6, 5, 4, 9, 2, 1}",2.485104,"{1, 2, 9, 4, 5, 6, 10, 3, 7, 8, 1}",2.485105,0.000000,0.000029
"{1, 3, 2, 6, 4, 8, 10, 9, 5, 7, 1}",2.246422,"{1, 3, 2, 6, 4, 5, 7, 10, 9, 8, 1}",2.551472,0.135794,0.000029
"{1, 4, 2, 5, 3, 8, 6, 9, 7, 10, 1}",3.416027,"{1, 10, 9, 6, 8, 5, 3, 2, 4, 7, 1}",4.147851,0.214233,0.000019
"{1, 5, 10, 7, 2, 6, 8, 4, 3, 9, 1}",3.392541,"{1, 5, 7, 6, 8, 3, 9, 4, 2, 10, 1}",3.769685,0.111169,0.000020
"{1, 4, 5, 2, 10, 6, 7, 3, 8, 9, 1}",3.085914,"{1, 4, 5, 2, 10, 9, 7, 3, 8, 6, 1}",3.626927,0.175317,0.000019
"{1, 6, 7, 3, 8, 2, 4, 10, 9, 5, 1}",3.112684,"{1, 6, 5, 9, 10, 4, 8, 3, 2, 7, 1}",3.459497,0.111419,0.000019
"{1, 4, 8, 3, 5, 2, 10, 6, 9, 7, 1}",2.314986,"{1, 7, 5, 2, 10, 6, 9, 3, 8, 4, 1}",2.410070,0.041073,0.000019
"{1, 10, 7, 3, 9, 4, 8, 6, 5, 2, 1}",3.312083,"{1, 7, 2, 5, 8, 4, 3, 9, 6, 10, 1}",4.006302,0.209602,0.000019
"{1, 10, 5, 6, 7, 9, 3, 4, 8, 2, 1}",2.585382,"{1, 2, 8, 9, 3, 4, 7, 6, 10, 5, 1}",2.647987,0.024215,0.000019
"{1, 7, 3, 2, 4, 6, 10, 5, 8, 9, 1}",2.872292,"{1, 9, 8, 7, 3, 5, 10, 6, 4, 2, 1}",3.094081,0.077217,0.000019
"{1, 7, 5, 8, 10, 9, 2, 3, 6, 4, 1}",2.480695,"{1, 2, 3, 4, 6, 9, 8, 10, 5, 7, 1}",2.645967,0.066624,0.000029
"{1, 9, 2, 10, 8, 3, 4, 5, 6, 7, 1}",3.017211,"{1, 6, 7, 8, 3, 5, 4, 10, 2, 9, 1}",3.269214,0.083522,0.000021
"{1, 4, 2, 5, 10, 6, 9, 7, 3, 8, 1}",3.403691,"{1, 8, 3, 10, 5, 6, 9, 2, 4, 7, 1}",4.014251,0.179382,0.000020
"{1, 4, 2, 7, 8, 5, 3, 10, 6, 9, 1}",2.884081,"{1, 9, 6, 4, 8, 5, 10, 3, 7, 2, 1}",3.271814,0.134439,0.000020
"{1, 3, 7, 10, 6, 4, 8, 5, 9, 2, 1}",2.849122,"{1, 2, 9, 5, 7, 3, 4, 10, 6, 8, 1}",3.621987,0.271264,0.000020
"{1, 4, 6, 7, 3, 2, 8, 10, 5, 9, 1}",2.662141,"{1, 4, 6, 3, 2, 9, 10, 5, 8, 7, 1}",3.385817,0.271840,0.000019
"{1, 3, 7, 4, 2, 10, 5, 8, 6, 9, 1}",3.106187,"{1, 9, 6, 8, 5, 10, 2, 4, 7, 3, 1}",3.106187,0.000000,0.000028
"{1, 6, 2, 5, 10, 8, 3, 7, 9, 4, 1}",2.367522,"{1, 4, 6, 2, 5, 9, 7, 8, 10, 3, 1}",2.908003,0.228290,0.000019
"{1, 7, 2, 9, 8, 6, 4, 5, 3, 10, 1}",3.045950,"{1, 10, 5, 3, 7, 2, 9, 8, 6, 4, 1}",3.193374,0.048400,0.000020
"{1, 10, 4, 3, 2, 5, 6, 7, 9, 8, 1}",2.587924,"{1, 8, 9, 7, 6, 2, 3, 4, 10, 5, 1}",3.329187,0.286431,0.000019
"{1, 6, 7, 9, 10, 2, 5, 8, 3, 4, 1}",3.743237,"{1, 4, 9, 6, 7, 10, 5, 2, 3, 8, 1}",4.294884,0.147372,0.000018
"{1, 8, 10, 7, 9, 4, 3, 2, 6, 5, 1}",3.135972,"{1, 8, 10, 5, 6, 2, 3, 4, 9, 7, 1}",3.373884,0.075866,0.000019
"{1, 5, 7, 10, 2, 9, 4, 8, 6, 3, 1}",2.303661,"{1, 3, 5, 10, 7, 4, 8, 6, 9, 2, 1}",3.333386,0.446995,0.000018
"{1, 6, 2, 10, 5, 7, 8, 3, 4, 9, 1}",3.109025,"{1, 6, 2, 10, 5, 7, 8, 3, 9, 4, 1}",3.430022,0.103247,0.000018
"{1, 2, 3, 9, 7, 5, 8, 10, 4, 6, 1}",2.837561,"{1, 3, 2, 9, 7, 5, 8, 10, 4, 6, 1}",2.903924,0.023387,0.000018
"{1, 5, 8, 10, 3, 9, 6, 7, 4, 2, 1}",3.007583,"{1, 2, 9, 3, 6, 4, 7, 10, 8, 5, 1}",3.170954,0.054320,0.000019
"{1, 9, 3, 8, 4, 10, 2, 6, 7, 5, 1}",2.624140,"{1, 3, 9, 8, 4, 2, 6, 7, 5, 10, 1}",3.414444,0.301167,0.000018
"{1, 9, 4, 8, 6, 2, 3, 10, 7, 5, 1}",2.531933,"{1, 9, 8, 4, 6, 2, 10, 7, 5, 3, 1}",2.798721,0.105369,0.000018
"{1, 10, 5, 6, 3, 9, 7, 8, 2, 4, 1}",2.656223,"{1, 10, 5, 6, 3, 9, 4, 2, 8, 7, 1}",2.829405,0.065199,0.000018
"{1, 5, 4, 10, 9, 3, 6, 8, 7, 2, 1}",2.559688,"{1, 2, 5, 4, 10, 9, 3, 6, 8, 7, 1}",2.752301,0.075249,0.000018
"{1, 2, 6, 8, 4, 10, 9, 3, 5, 7, 1}",2.826813,"{1, 2, 5, 3, 10, 9, 8, 4, 6, 7, 1}",3.550762,0.256101,0.000018
