optimal_tour,optimal_tour_length,threshold_accepting_tour,threshold_accepting_tour_length,score,time
"{1, 9, 3, 2, 8, 7, 6, 4, 5, 10, 1}",2.626958,"{1, 10, 5, 4, 6, 7, 8, 2, 3, 9, 1}",2.626958,0.000000,0.034320
"{1, 5, 8, 6, 2, 9, 4, 7, 3, 10, 1}",2.690200,"{1, 10, 3, 7, 4, 9, 2, 6, 8, 5, 1}",2.690200,0.000000,0.033667
"{1, 5, 9, 2, 4, 3, 8, 7, 6, 10, 1}",3.281753,"{1, 10, 6, 7, 8, 3, 4, 2, 9, 5, 1}",3.281753,0.000000,0.033245
"{1, 5, 10, 8, 7, 9, 6, 4, 3, 2, 1}",2.662473,"{1, 5, 10, 8, 7, 9, 6, 4, 3, 2, 1}",2.662473,0.000000,0.033218
"{1, 10, 5, 4, 8, 2, 6, 7, 3, 9, 1}",3.285511,"{1, 10, 5, 4, 8, 2, 6, 7, 3, 9, 1}",3.285511,0.000000,0.032203
"{1, 10, 3, 9, 7, 4, 5, 2, 6, 8, 1}",2.587520,"{1, 8, 6, 2, 5, 4, 7, 9, 3, 10, 1}",2.587520,0.000000,0.031998
"{1, 2, 10, 3, 8, 9, 4, 6, 5, 7, 1}",2.816688,"{1, 7, 5, 4, 6, 9, 8, 3, 10, 2, 1}",2.814519,-0.000770,0.031860
"{1, 3, 9, 4, 7, 5, 2, 10, 6, 8, 1}",2.894399,"{1, 3, 9, 4, 7, 5, 2, 10, 6, 8, 1}",2.894399,0.000000,0.032034
"{1, 5, 3, 4, 9, 8, 7, 10, 6, 2, 1}",2.768768,"{1, 5, 3, 4, 9, 8, 7, 10, 6, 2, 1}",2.768768,0.000000,0.032427
"{1, 4, 5, 8, 10, 2, 6, 3, 9, 7, 1}",2.643896,"{1, 9, 3, 6, 2, 10, 8, 5, 4, 7, 1}",2.640534,-0.001271,0.032846
"{1, 7, 5, 8, 4, 6, 2, 10, 9, 3, 1}",2.554845,"{1, 7, 5, 8, 4, 6, 2, 10, 9, 3, 1}",2.554845,0.000000,0.031881
