optimal_tour,optimal_tour_length,transformer_tour,transformer_tour_length,score,time
"{1, 8, 19, 7, 11, 4, 13, 20, 10, 5, 15, 9, 18, 3, 6, 12, 14, 2, 16, 17, 1}",3.347795,"{1, 8, 19, 7, 11, 4, 13, 20, 10, 5, 15, 9, 18, 3, 17, 16, 2, 14, 12, 6, 1}",3.648160,0.089720,0.147034
"{1, 6, 17, 16, 8, 9, 5, 14, 18, 7, 2, 10, 4, 19, 13, 15, 12, 20, 3, 11, 1}",4.131330,"{1, 11, 3, 20, 12, 15, 4, 19, 13, 10, 2, 7, 18, 14, 5, 9, 8, 16, 17, 6, 1}",4.153713,0.005418,0.033024
"{1, 3, 13, 2, 9, 6, 11, 20, 19, 15, 8, 5, 4, 7, 14, 18, 17, 10, 12, 16, 1}",4.468433,"{1, 3, 13, 2, 9, 6, 11, 20, 19, 15, 8, 5, 4, 7, 14, 18, 17, 10, 12, 16, 1}",4.468433,0.000000,0.030275
"{1, 13, 14, 20, 5, 16, 11, 8, 10, 7, 9, 2, 15, 17, 19, 6, 12, 3, 4, 18, 1}",3.863744,"{1, 13, 14, 20, 5, 16, 11, 8, 10, 7, 9, 2, 15, 17, 19, 6, 12, 3, 4, 18, 1}",3.863744,0.000000,0.029889
"{1, 15, 18, 8, 3, 20, 6, 11, 14, 19, 17, 16, 4, 13, 9, 12, 5, 2, 10, 7, 1}",4.121216,"{1, 15, 18, 8, 3, 20, 6, 11, 14, 19, 17, 16, 4, 13, 9, 12, 5, 2, 10, 7, 1}",4.121216,0.000000,0.029686
"{1, 14, 4, 11, 9, 15, 16, 19, 3, 7, 5, 20, 2, 10, 18, 17, 8, 12, 13, 6, 1}",3.855716,"{1, 6, 13, 12, 8, 17, 18, 10, 2, 20, 5, 7, 3, 19, 16, 15, 9, 14, 4, 11, 1}",3.876842,0.005479,0.029653
"{1, 2, 19, 3, 8, 10, 17, 20, 15, 7, 18, 5, 9, 11, 16, 13, 14, 6, 12, 4, 1}",3.965355,"{1, 2, 19, 3, 8, 10, 17, 20, 15, 7, 18, 5, 9, 11, 16, 13, 14, 6, 12, 4, 1}",3.965355,0.000000,0.029615
"{1, 15, 11, 4, 19, 12, 5, 10, 14, 6, 8, 7, 13, 18, 9, 16, 2, 3, 20, 17, 1}",4.155659,"{1, 15, 11, 4, 19, 12, 5, 10, 14, 6, 8, 7, 13, 18, 9, 16, 2, 3, 20, 17, 1}",4.155659,0.000000,0.029551
"{1, 8, 16, 7, 15, 14, 3, 18, 17, 12, 9, 10, 11, 19, 5, 13, 20, 2, 4, 6, 1}",3.670597,"{1, 6, 4, 20, 2, 13, 5, 19, 11, 10, 9, 12, 17, 18, 3, 14, 15, 7, 16, 8, 1}",3.670124,-0.000129,0.029432
"{1, 12, 7, 17, 20, 16, 18, 10, 5, 11, 15, 2, 4, 9, 8, 13, 14, 19, 3, 6, 1}",3.873764,"{1, 12, 6, 3, 19, 14, 13, 8, 9, 4, 2, 15, 11, 5, 10, 18, 16, 20, 7, 17, 1}",3.878556,0.001237,0.030967
"{1, 5, 3, 20, 13, 6, 16, 2, 15, 17, 19, 18, 8, 12, 4, 11, 14, 10, 7, 9, 1}",3.489861,"{1, 5, 3, 20, 13, 6, 16, 2, 15, 17, 19, 18, 8, 12, 4, 11, 14, 10, 7, 9, 1}",3.489861,0.000000,0.030683
"{1, 8, 18, 14, 3, 9, 11, 17, 12, 19, 4, 6, 20, 5, 13, 7, 10, 16, 2, 15, 1}",3.248856,"{1, 8, 18, 14, 3, 9, 11, 17, 19, 4, 12, 20, 5, 13, 6, 7, 10, 16, 2, 15, 1}",3.283060,0.010528,0.029966
"{1, 6, 15, 13, 7, 12, 14, 11, 20, 17, 2, 3, 19, 8, 16, 9, 4, 18, 10, 5, 1}",3.433903,"{1, 5, 10, 18, 4, 9, 16, 8, 19, 3, 2, 17, 20, 11, 14, 12, 7, 13, 6, 15, 1}",3.437479,0.001041,0.030204
"{1, 3, 20, 8, 12, 15, 5, 6, 14, 7, 13, 18, 10, 11, 16, 2, 17, 9, 19, 4, 1}",3.790550,"{1, 4, 19, 9, 17, 2, 16, 11, 10, 18, 13, 7, 14, 6, 5, 15, 12, 8, 20, 3, 1}",3.790550,0.000000,0.029609
"{1, 13, 16, 11, 2, 4, 17, 18, 6, 19, 8, 15, 3, 10, 5, 20, 14, 7, 9, 12, 1}",3.482195,"{1, 13, 16, 11, 2, 17, 4, 18, 6, 19, 8, 15, 3, 10, 5, 14, 20, 7, 9, 12, 1}",3.503082,0.005998,0.029740
"{1, 2, 18, 4, 16, 19, 5, 6, 13, 8, 15, 11, 9, 3, 7, 12, 14, 20, 10, 17, 1}",3.701658,"{1, 2, 18, 4, 16, 19, 5, 6, 13, 8, 15, 11, 9, 3, 7, 12, 20, 14, 10, 17, 1}",3.710816,0.002474,0.029768
"{1, 11, 12, 2, 10, 18, 6, 9, 4, 5, 20, 7, 14, 13, 8, 16, 19, 17, 3, 15, 1}",3.799545,"{1, 15, 3, 17, 19, 16, 8, 13, 14, 7, 20, 5, 4, 9, 6, 18, 10, 2, 12, 11, 1}",3.799545,0.000000,0.030679
"{1, 7, 17, 14, 16, 15, 6, 4, 18, 3, 20, 10, 5, 9, 12, 11, 19, 13, 2, 8, 1}",3.931634,"{1, 13, 2, 8, 16, 15, 14, 17, 4, 6, 18, 3, 20, 10, 5, 9, 12, 19, 11, 7, 1}",4.025774,0.023944,0.029706
"{1, 4, 19, 11, 20, 14, 17, 16, 18, 6, 7, 8, 9, 3, 10, 12, 2, 5, 13, 15, 1}",3.515931,"{1, 4, 19, 11, 20, 14, 17, 16, 18, 6, 7, 8, 9, 3, 10, 12, 2, 13, 5, 15, 1}",3.520191,0.001212,0.030399
"{1, 2, 12, 16, 13, 15, 11, 10, 9, 8, 14, 6, 19, 7, 4, 18, 5, 3, 20, 17, 1}",3.812864,"{1, 17, 20, 3, 5, 18, 4, 7, 19, 6, 14, 8, 9, 10, 11, 15, 13, 16, 12, 2, 1}",3.812864,0.000000,0.029986
